시설번호,놀이시설명,주소1,주소2,설치일자,설치장소,한글주소,위도,경도
3309,망경한주맨션,,경상남도 진주시 망경북길 53 (망경동 망경한주맨션),1985-12-01,주택단지,경상남도 진주시 망경북길 53 (망경동 망경한주맨션),35.1862843,128.0840958
500528,이반성초등학교 어린이놀이시설,,경상남도 진주시 이반성면 오봉산로 762,1986-04-01,학교,경상남도 진주시 이반성면 오봉산로 762,35.1731664,128.3293083
500564,진주교육대학교부설초등학교 어린이놀이시설,,경상남도 진주시 진양호로369번길 3 (신안동),1986-09-16,학교,경상남도 진주시 진양호로369번길 3 (신안동),35.1863618,128.0670038
6264,상봉(2)주공아파트,,경상남도 진주시 진주성로147번길 10 (상봉동 상봉2주공아파트),1986-10-11,주택단지,경상남도 진주시 진주성로147번길 10 (상봉동 상봉2주공아파트),35.2034444,128.0733195
500527,명석초등학교병설유치원 어린이놀이시설,,경상남도 진주시 명석면 광제산로 23,1986-11-01,유치원,경상남도 진주시 명석면 광제산로 23,35.2181611,128.0403011
12517,신익무지개아파트,,경상남도 진주시 숙호산로 64-5 (이현동 신익무지개아파트),1987-08-01,주택단지,경상남도 진주시 숙호산로 64-5 (이현동 신익무지개아파트),35.1865401,128.0619765
6268,이현한주아파트,,경상남도 진주시 서장대로278번길 9 (이현동 이현한주아파트),1987-12-01,주택단지,경상남도 진주시 서장대로278번길 9 (이현동 이현한주아파트),35.1914061,128.0643409
500538,지수초등학교 어린이놀이시설,,경상남도 진주시 지수면 지사로 806,1988-06-01,학교,경상남도 진주시 지수면 지사로 806,35.2332987,128.2525014
529715,지수초등학교병설유치원 어린이놀이시설,,경상남도 진주시 지수면 지사로 806,1988-06-01,유치원,경상남도 진주시 지수면 지사로 806,35.2332987,128.2525014
3308,평거주공1차아파트,,경상남도 진주시 진양호로185번길 7 (평거동 주공1차아파트),1988-11-01,주택단지,경상남도 진주시 진양호로185번길 7 (평거동 주공1차아파트),35.1718345,128.0579387
5208,삼전2차아파트,,경상남도 진주시 모덕로306번길 17 (하대동 삼전2차아파트),1989-04-01,주택단지,경상남도 진주시 모덕로306번길 17 (하대동 삼전2차아파트),35.1876352,128.1278061
5207,올림피아골든맨션,,경상남도 진주시 모덕로270번길 12 (하대동 올림피아골든맨션),1989-07-01,주택단지,경상남도 진주시 모덕로270번길 12 (하대동 올림피아골든맨션),35.1882406,128.123113
5183,신안현대아파트 - ① 102동 앞,,경상남도 진주시 천수로 315 (신안동 현대아파트),1989-10-31,주택단지,경상남도 진주시 천수로 315 (신안동 현대아파트),35.1842087,128.0719371
6263,신안현대아파트 - ② 105동 앞,,경상남도 진주시 천수로 315 (신안동 현대아파트),1989-10-31,주택단지,경상남도 진주시 천수로 315 (신안동 현대아파트),35.1842087,128.0719371
6276,임광아파트,,경상남도 진주시 모덕로 293 (하대동 임광아파트),1989-12-01,주택단지,경상남도 진주시 모덕로 293 (하대동 임광아파트),35.1895773,128.1260216
5203,상평국민1차아파트,,경상남도 진주시 남강로1093번길 14 (상평동 국민1차아파트),1990-02-01,주택단지,경상남도 진주시 남강로1093번길 14 (상평동 국민1차아파트),35.1696465,128.1121405
5180,한주럭키타운아파트 - ① 2동 앞,,경상남도 진주시 진주대로 859 (주약동 한주럭키아파트),1990-04-30,주택단지,경상남도 진주시 진주대로 859 (주약동 한주럭키아파트),35.1761809,128.0909911
5181,한주럭키타운아파트 - ② 12동 앞,,경상남도 진주시 진주대로 859 (주약동 한주럭키아파트),1990-04-30,주택단지,경상남도 진주시 진주대로 859 (주약동 한주럭키아파트),35.1761809,128.0909911
500562,진주혜광학교 실외 어린이놀이시설,,경상남도 진주시 문산읍 월아산로1048번길 36,1990-06-01,학교,경상남도 진주시 문산읍 월아산로1048번길 36,35.1645186,128.1684899
5148,한주파크맨션,,경상남도 진주시 남강로 479 (신안동 한주파크맨션),1990-08-09,주택단지,경상남도 진주시 남강로 479 (신안동 한주파크맨션),35.1814024,128.0723572
5204,상평국민2차아파트,,경상남도 진주시 공단로236번길 24 (상평동 89상평국민주택(2차)),1990-09-01,주택단지,경상남도 진주시 공단로236번길 24 (상평동 89상평국민주택(2차)),35.1739455,128.1253309
12521,상평국민3차아파트,,경상남도 진주시 남강로1069번길 4-1 (상평동 국민주택3차),1990-09-01,주택단지,경상남도 진주시 남강로1069번길 4-1 (상평동 국민주택3차),35.1690834,128.1095956
5137,하대어린이집 놀이시설,경남 진주시 하대1동 535,경상남도 진주시 모덕로197번길 7 (하대동),1990-09-11,어린이집,경상남도 진주시 모덕로197번길 7 (하대동),35.1891826,128.1152875
5192,금산금호아파트,,경상남도 진주시 금산면 금산로 130 (금호맨션),1990-10-01,주택단지,경상남도 진주시 금산면 금산로 130 (금호맨션),35.2127405,128.1494346
6265,삼영아파트,,경상남도 진주시 상봉대룡길 14 (상봉동 삼영아파트),1991-01-01,주택단지,경상남도 진주시 상봉대룡길 14 (상봉동 삼영아파트),35.2010297,128.0689053
500519,신안초등학교 어린이놀이시설,,경상남도 진주시 평거로139번길 8 (신안동),1991-03-02,학교,경상남도 진주시 평거로139번길 8 (신안동),35.1827022,128.06862
529714,신안초등학교병설유치원 어린이놀이시설,,경상남도 진주시 평거로139번길 8 (신안동),1991-03-02,유치원,경상남도 진주시 평거로139번길 8 (신안동),35.1827022,128.06862
6278,동서훼밀리타운,,경상남도 진주시 선학산길 22 (상대동 동서훼밀리),1991-06-10,주택단지,경상남도 진주시 선학산길 22 (상대동 동서훼밀리),35.184131,128.1091099
5221,럭키강변아파트,,경상남도 진주시 남강로 1407 (하대동 럭키강변아파트),1991-07-01,주택단지,경상남도 진주시 남강로 1407 (하대동 럭키강변아파트),35.186633,128.1281327
5202,동국강변1차아파트,,경상남도 진주시 큰들로66번길 12 (상평동 동국강변아파트),1991-08-01,주택단지,경상남도 진주시 큰들로66번길 12 (상평동 동국강변아파트),35.1702161,128.1095584
6861,상대현대아파트 내 놀이터(106동 옆),,경상남도 진주시 모덕로181번길 7 (상대동 상대현대아파트),1991-10-01,주택단지,경상남도 진주시 모덕로181번길 7 (상대동 상대현대아파트),35.1871887,128.113283
5146,한보타워맨션(1차)아파트,,경상남도 진주시 모덕로306번길 2 (하대동 한보타워맨션),1992-01-04,주택단지,경상남도 진주시 모덕로306번길 2 (하대동 한보타워맨션),35.1887524,128.1270643
5189,그린타운,,경상남도 진주시 석갑로156번길 19 (신안동 그린타운),1992-03-01,주택단지,경상남도 진주시 석갑로156번길 19 (신안동 그린타운),35.1832886,128.0644944
5175,판문현대아파트,,경상남도 진주시 진양호로51번길 6-7 (판문동 현대아파트),1992-03-28,주택단지,경상남도 진주시 진양호로51번길 6-7 (판문동 현대아파트),35.1680089,128.0461084
3301,대영아파트,,경상남도 진주시 말티고개로 102-5 (하대동 하대대영아파트),1992-04-01,주택단지,경상남도 진주시 말티고개로 102-5 (하대동 하대대영아파트),35.1963013,128.1126125
6258,명석동신아파트,,경상남도 진주시 명석면 광제산로 11-21 (동신아파트),1992-04-30,주택단지,경상남도 진주시 명석면 광제산로 11-21 (동신아파트),35.2169396,128.0391042
12524,하영그린맨션,,경상남도 진주시 진양호로97번길 8-3 (평거동 하영그린맨션),1992-07-01,주택단지,경상남도 진주시 진양호로97번길 8-3 (평거동 하영그린맨션),35.1682447,128.051075
5216,상봉한주아파트,,경상남도 진주시 진주대로1208번길 20 (상봉동 상봉한주아파트),1992-08-08,주택단지,경상남도 진주시 진주대로1208번길 20 (상봉동 상봉한주아파트),35.196319,128.0710108
521293,동국강변(2)타워아파트,,경상남도 진주시 돗골로19번길 12 (상평동 2차동국강변타워),1992-10-19,주택단지,경상남도 진주시 돗골로19번길 12 (상평동 2차동국강변타워),35.1699247,128.1116175
6254,대경하대아파트,,경상남도 진주시 도동로264번길 31 (하대동 대경하대아파트),1992-12-01,주택단지,경상남도 진주시 도동로264번길 31 (하대동 대경하대아파트),35.1943632,128.1249593
5177,도동대림아파트,,경상남도 진주시 하대로40번길 4 (하대동 도동대림아파트),1992-12-03,주택단지,경상남도 진주시 하대로40번길 4 (하대동 도동대림아파트),35.1924443,128.1148087
5198,하이로드빌라,,경상남도 진주시 진주대로 580 (가좌동 하이로드빌라),1993-01-01,주택단지,경상남도 진주시 진주대로 580 (가좌동 하이로드빌라),35.157939,128.1087419
5174,하대한보3차아파트,,경상남도 진주시 남강로 1403 (하대동),1993-02-23,주택단지,경상남도 진주시 남강로 1403 (하대동),35.1859718,128.1285092
5169,벽산동신아파트,,경상남도 진주시 진양호로125번길 22-12 (평거동 벽산동신2아파트),1993-03-25,주택단지,경상남도 진주시 진양호로125번길 22-12 (평거동 벽산동신2아파트),35.1710989,128.0529053
3304,하영무지개아파트,,경상남도 진주시 진양호로 153 (평거동 하영무지개맨션),1993-05-01,주택단지,경상남도 진주시 진양호로 153 (평거동 하영무지개맨션),35.1699714,128.0554547
5182,평거한보타운아파트 -①101동 앞,,경상남도 진주시 진양호로97번길 19-6 (평거동 한보타운),1993-05-15,주택단지,경상남도 진주시 진양호로97번길 19-6 (평거동 한보타운),35.1696197,128.0498648
500582,소화유치원 어린이놀이시설,,경상남도 진주시 문산읍 소문길67번길 9-4,1993-06-01,유치원,경상남도 진주시 문산읍 소문길67번길 9-4,35.172435,128.1688032
5151,가좌주공2차아파트 5-놀이터(212동옆),,경상남도 진주시 가호로 26 (가좌동 진주가좌주공아파트),1993-11-11,주택단지,경상남도 진주시 가호로 26 (가좌동 진주가좌주공아파트),35.1621526,128.109842
5152,가좌주공2차아파트 2-놀이터(208동앞),,경상남도 진주시 가호로 26 (가좌동 진주가좌주공아파트),1993-11-11,주택단지,경상남도 진주시 가호로 26 (가좌동 진주가좌주공아파트),35.1621526,128.109842
5153,가좌주공2차아파트 6-놀이터(관리동앞),,경상남도 진주시 가호로 26 (가좌동 진주가좌주공아파트),1993-11-11,주택단지,경상남도 진주시 가호로 26 (가좌동 진주가좌주공아파트),35.1621526,128.109842
12515,가좌주공2차아파트 3-놀이터(202동앞),,경상남도 진주시 가호로 26 (가좌동 가좌주공아파트),1993-11-11,주택단지,경상남도 진주시 가호로 26 (가좌동 가좌주공아파트),35.1621526,128.109842
541578,가좌주공2차아파트 4-놀이터(211동앞),,경상남도 진주시 가호로 26 (가좌동 가좌주공아파트),1993-11-11,주택단지,경상남도 진주시 가호로 26 (가좌동 가좌주공아파트),35.1621526,128.109842
5194,문산고려아파트 어린이놀이터,,경상남도 진주시 문산읍 동부로 538-8 (문산고려아파트),1994-04-09,주택단지,경상남도 진주시 문산읍 동부로 538-8 (문산고려아파트),35.1634061,128.1609618
6279,유곡한보아파트,,경상남도 진주시 진주대로 1278 (유곡동 유곡한보아파트),1994-05-01,주택단지,경상남도 진주시 진주대로 1278 (유곡동 유곡한보아파트),35.1943472,128.0637233
12525,동성가든타워아파트,,경상남도 진주시 진주대로 901 (강남동 동성가든타워),1994-07-01,주택단지,경상남도 진주시 진주대로 901 (강남동 동성가든타워),35.1810825,128.0894558
500545,촉석초등학교 어린이놀이시설,,경상남도 진주시 평거로 259 (이현동),1994-08-01,학교,경상남도 진주시 평거로 259 (이현동),35.1912759,128.0616579
6270,평거대경그린아파트,,경상남도 진주시 순환로573번길 21 (평거동 대경그린파크),1994-10-01,주택단지,경상남도 진주시 순환로573번길 21 (평거동 대경그린파크),35.1731699,128.0577837
3305,초전일동아파트,,경상남도 진주시 초전북로 20 (초전동 초전일동아파트),1994-11-16,주택단지,경상남도 진주시 초전북로 20 (초전동 초전일동아파트),35.2074756,128.109346
3302,이현덕산아파트,,경상남도 진주시 서장대로178번길 17 (이현동 진주덕산아파트),1995-05-13,주택단지,경상남도 진주시 서장대로178번길 17 (이현동 진주덕산아파트),35.1876444,128.0590438
7169,한주한보타운 놀이시설,,경상남도 진주시 망경로296번길 17 (강남동 강남한주한보타운),1995-05-29,주택단지,경상남도 진주시 망경로296번길 17 (강남동 강남한주한보타운),35.1842576,128.0867435
521297,초전대림아파트,,경상남도 진주시 말티고개로 113 (초전동 초전대림아파트),1995-07-05,주택단지,경상남도 진주시 말티고개로 113 (초전동 초전대림아파트),35.1973625,128.1139159
5222,한보하이타운아파트,경상남도 진주시 평거동 301-1,,1995-08-01,주상복합,경상남도 진주시 평거동 301-1,35.172635,128.0592791
500130,금성초등학교 어린이놀이시설,,경상남도 진주시 말티고개로123번길 19 (초전동),1995-09-01,학교,경상남도 진주시 말티고개로123번길 19 (초전동),35.1983092,128.1148277
529689,진주초등학교병설유치원 어린이놀이시설,,경상남도 진주시 진주성로24번길 7 (인사동),1995-09-24,유치원,경상남도 진주시 진주성로24번길 7 (인사동),35.1930687,128.0783424
5178,칠암한주아파트,,경상남도 진주시 강남로 101 (칠암동 칠암한주아파트),1995-10-25,주택단지,경상남도 진주시 강남로 101 (칠암동 칠암한주아파트),35.1776896,128.0973211
3300,신안주공2차(2-1)아파트 - ②210동앞,,경상남도 진주시 신안들말길 17 (신안동 주공1차아파트),1996-01-01,주택단지,경상남도 진주시 신안들말길 17 (신안동 주공1차아파트),35.1776294,128.0689262
5145,신안주공2차(2-1)아파트 - ①206옆,,경상남도 진주시 신안들말길 17 (신안동 주공1차아파트),1996-01-01,주택단지,경상남도 진주시 신안들말길 17 (신안동 주공1차아파트),35.1776294,128.0689262
36671,반성초등학교병설유치원 어린이놀이시설,,경상남도 진주시 일반성면 동부로 2060,1996-03-01,유치원,경상남도 진주시 일반성면 동부로 2060,35.1697161,128.285625
529710,반성초등학교 어린이놀이시설,,경상남도 진주시 일반성면 동부로 2060,1996-03-01,학교,경상남도 진주시 일반성면 동부로 2060,35.1697161,128.285625
538662,집현초등학교 어린이놀이시설,,경상남도 진주시 집현면 지내길 271,1996-03-01,학교,경상남도 진주시 집현면 지내길 271,35.241978,128.0927912
6236,세계로어린이집 놀이시설,경남 진주시 하대1동 347-14번지,경상남도 진주시 도동로215번길 17 (하대동),1996-03-19,어린이집,경상남도 진주시 도동로215번길 17 (하대동),35.1893638,128.120344
5157,하대현대아파트 - ① 105동 앞,,경상남도 진주시 하대로 142 (하대동 현대아파트),1996-06-01,주택단지,경상남도 진주시 하대로 142 (하대동 현대아파트),35.1919639,128.126073
5158,하대현대아파트 - ② 104동 뒤편,,경상남도 진주시 하대로 142 (하대동 현대아파트),1996-06-01,주택단지,경상남도 진주시 하대로 142 (하대동 현대아파트),35.1919639,128.126073
5147,호탄삼성아파트,,경상남도 진주시 동부로43번길 10-13 (호탄동 삼성아파트),1996-09-23,주택단지,경상남도 진주시 동부로43번길 10-13 (호탄동 삼성아파트),35.1628026,128.1136105
5172,신안주공2단지아파트 - ① 201동 앞,,경상남도 진주시 신안들말길 47 (신안동 주공2차아파트),1996-10-25,주택단지,경상남도 진주시 신안들말길 47 (신안동 주공2차아파트),35.1790528,128.0665505
5173,신안주공2단지아파트 - ② 203동 앞,,경상남도 진주시 신안들말길 47 (신안동 주공2차아파트),1996-10-25,주택단지,경상남도 진주시 신안들말길 47 (신안동 주공2차아파트),35.1790528,128.0665505
6277,들말한보아파트 놀이터 (관리동),,경상남도 진주시 평거로39번길 9 (평거동 들말한보타운),1997-01-01,주택단지,경상남도 진주시 평거로39번길 9 (평거동 들말한보타운),35.1735144,128.0633382
6870,들말한보아파트 놀이터 (102동),,경상남도 진주시 평거로39번길 9 (평거동 들말한보타운),1997-01-01,주택단지,경상남도 진주시 평거로39번길 9 (평거동 들말한보타운),35.1735144,128.0633382
12492,사회복지법인 리라어린이집 놀이시설,경남 진주시금산면 송백리 556-2번지,경상남도 진주시 금산면 송백로 399,1997-03-15,어린이집,경상남도 진주시 금산면 송백로 399,35.2047564,128.1339843
5161,초전청구타운(B)아파트 - 107동 옆,,경상남도 진주시 대신로475번길 16-5 (초전동 청구타운),1997-08-01,주택단지,경상남도 진주시 대신로475번길 16-5 (초전동 청구타운),35.2029975,128.1131393
6253,초전청구타운(A)아파트 - 101동 앞,,경상남도 진주시 대신로475번길 16-5 (초전동 청구타운),1997-08-01,주택단지,경상남도 진주시 대신로475번길 16-5 (초전동 청구타운),35.2029975,128.1131393
12513,진주망경한보타운아파트 105동앞,,경상남도 진주시 망경로 234-5 (망경동 망경한보타운),1997-10-18,주택단지,경상남도 진주시 망경로 234-5 (망경동 망경한보타운),35.1822013,128.0802
12514,진주망경한보타운아파트 107동앞,,경상남도 진주시 망경로 234-5 (망경동 망경한보타운),1997-10-18,주택단지,경상남도 진주시 망경로 234-5 (망경동 망경한보타운),35.1822013,128.0802
7310,흥한스위트 주상복합(4층옥상),경상남도 진주시 신안동 14-2,,1998-02-01,주상복합,경상남도 진주시 신안동 14-2,35.1794004,128.0600511
12491,발도르프자유어린이집 놀이시설,경남 진주시 상대1동 287-22번지,경상남도 진주시 솔밭로139번길 11 (상대동),1998-04-08,어린이집,경상남도 진주시 솔밭로139번길 11 (상대동),35.1815231,128.1056083
12496,솔별어린이집 놀이시설,경남 진주시 초전동 822-9,경상남도 진주시 대신로449번길 9-6 (초전동),1999-01-09,어린이집,경상남도 진주시 대신로449번길 9-6 (초전동),35.2002637,128.1152864
500616,월경사금강유치원 어린이놀이시설,,경상남도 진주시 망경로224번길 45 (망경동),1999-01-11,유치원,경상남도 진주시 망경로224번길 45 (망경동),35.1810714,128.0803267
7307,망경어린이집 놀이시설,경남 진주시 망경동 387-1,경상남도 진주시 망진산길4번길 13 (망경동),1999-04-09,어린이집,경상남도 진주시 망진산길4번길 13 (망경동),35.1805377,128.0817963
5200,상대한주그린아파트,,경상남도 진주시 선학산길 46 (상대동 상대한주그린아파트),1999-08-01,주택단지,경상남도 진주시 선학산길 46 (상대동 상대한주그린아파트),35.1863581,128.1107455
500172,문산초등학교병설유치원 어린이놀이시설,,경상남도 진주시 문산읍 소문길 11,1999-10-29,유치원,경상남도 진주시 문산읍 소문길 11,35.1714053,128.1622365
12526,대경강남타운(주상복합)아파트,,경상남도 진주시 진주대로891번길 16 (강남동 대경강남타운),1999-12-01,주택단지,경상남도 진주시 진주대로891번길 16 (강남동 대경강남타운),35.180479,128.0896762
5168,금호석류마을아파트 - ② 115동 뒤,,경상남도 진주시 강남로 45 (주약동 금호석류마을),1999-12-17,주택단지,경상남도 진주시 강남로 45 (주약동 금호석류마을),35.1726648,128.0953869
6255,금호석류마을아파트 - ① 101동 앞,,경상남도 진주시 강남로 45 (주약동 금호석류마을),1999-12-17,주택단지,경상남도 진주시 강남로 45 (주약동 금호석류마을),35.1726648,128.0953869
500514,수곡초등학교 어린이놀이시설,,경상남도 진주시 수곡면 곤수로 1000,1999-12-31,학교,경상남도 진주시 수곡면 곤수로 1000,35.200964,127.9320448
6259,신안1차흥한타운아파트,,경상남도 진주시 진양호로328번길 4 (신안동 신안1차흥한타운),2000-03-01,주택단지,경상남도 진주시 진양호로328번길 4 (신안동 신안1차흥한타운),35.181534,128.0675629
500628,한샘유치원 어린이놀이시설,,경상남도 진주시 망경남길 5-3 (망경동),2000-04-01,유치원,경상남도 진주시 망경남길 5-3 (망경동),35.1792564,128.0849173
5142,진주현대금빛마을 - ①101동 앞,,경상남도 진주시 집현면 진산로 675 (현대아파트),2000-08-01,주택단지,경상남도 진주시 집현면 진산로 675 (현대아파트),35.2384894,128.0902755
5143,진주현대금빛마을 - ②103동 앞,,경상남도 진주시 집현면 진산로 675 (현대아파트),2000-08-01,주택단지,경상남도 진주시 집현면 진산로 675 (현대아파트),35.2384894,128.0902755
5159,주약현대아파트 - ① 104동 앞,,경상남도 진주시 진주대로815번길 11 (주약동 주약현대아파트),2000-11-01,주택단지,경상남도 진주시 진주대로815번길 11 (주약동 주약현대아파트),35.1718994,128.0927678
5160,주약현대아파트 - ③ 116동 뒤,,경상남도 진주시 진주대로815번길 11 (주약동 주약현대아파트),2000-11-01,주택단지,경상남도 진주시 진주대로815번길 11 (주약동 주약현대아파트),35.1718994,128.0927678
6251,주약현대아파트 - ② 115동 앞,,경상남도 진주시 진주대로815번길 11 (주약동 주약현대아파트),2000-11-01,주택단지,경상남도 진주시 진주대로815번길 11 (주약동 주약현대아파트),35.1718994,128.0927678
6252,주약현대아파트 - ④ 117동 뒤,,경상남도 진주시 진주대로815번길 11 (주약동 주약현대아파트),2000-11-01,주택단지,경상남도 진주시 진주대로815번길 11 (주약동 주약현대아파트),35.1718994,128.0927678
3306,대경빌라트아파트,,경상남도 진주시 가호로 79 (호탄동 대경빌라트),2000-12-01,주택단지,경상남도 진주시 가호로 79 (호탄동 대경빌라트),35.1647191,128.1138662
6240,엔젤스쿨어린이집 놀이시설,경남 진주시금산면 장사리 853-12 엔젤스쿨어린이집,경상남도 진주시 금산면 금산순환로56번길 6 엔젤스쿨어린이집,2001-02-27,어린이집,경상남도 진주시 금산면 금산순환로56번길 6 엔젤스쿨어린이집,35.2186103,128.1496452
500135,내동초등학교 어린이놀이시설,,경상남도 진주시 내동면 순환로 426,2001-06-11,학교,경상남도 진주시 내동면 순환로 426,35.1649043,128.0678955
6866,하대대림아파트,,경상남도 진주시 도동천로 310 (하대동 하대대림아파트),2001-07-01,주택단지,경상남도 진주시 도동천로 310 (하대동 하대대림아파트),35.1941021,128.1275873
5195,문산한양하이빌 아파트,,경상남도 진주시 문산읍 월아산로 1083-10 (문산한양하이빌),2001-08-01,주택단지,경상남도 진주시 문산읍 월아산로 1083-10 (문산한양하이빌),35.1670816,128.161865
5162,금산흥한골든빌아파트 - ① 101102동 옆,,경상남도 진주시 금산면 금산로 123 (금산흥한골든빌),2002-01-01,주택단지,경상남도 진주시 금산면 금산로 123 (금산흥한골든빌),35.2151739,128.1503702
5163,금산흥한골든빌아파트 - ②108동 옆,,경상남도 진주시 금산면 금산로 123 (금산흥한골든빌),2002-01-01,주택단지,경상남도 진주시 금산면 금산로 123 (금산흥한골든빌),35.2151739,128.1503702
5164,금산흥한골든빌아파트 - ③ 105동 옆,,경상남도 진주시 금산면 금산로 123 (금산흥한골든빌),2002-01-01,주택단지,경상남도 진주시 금산면 금산로 123 (금산흥한골든빌),35.2151739,128.1503702
5128,고운나라재능어린이집 놀이시설,경남 진주시 상봉동 195-19,경상남도 진주시 진주성로 193 (상봉동),2002-01-02,어린이집,경상남도 진주시 진주성로 193 (상봉동),35.2052529,128.0727775
500520,신진초등학교 어린이놀이시설,,경상남도 진주시 신평공원길57번길 19 (평거동),2002-03-02,학교,경상남도 진주시 신평공원길57번길 19 (평거동),35.1748532,128.0664454
5218,주약한보은빛마을아파트 - ① 관리동앞,,경상남도 진주시 천수로 30 (주약동 한보은빛마을아파트),2002-03-28,주택단지,경상남도 진주시 천수로 30 (주약동 한보은빛마을아파트),35.1709726,128.0932489
5219,주약한보은빛마을아파트 - ② 102동앞,,경상남도 진주시 천수로 30 (주약동 한보은빛마을아파트),2002-03-28,주택단지,경상남도 진주시 천수로 30 (주약동 한보은빛마을아파트),35.1709726,128.0932489
6266,신안원정그린빌,,경상남도 진주시 촉석로50번길 8 (신안동 신안원정그린빌),2002-11-01,주택단지,경상남도 진주시 촉석로50번길 8 (신안동 신안원정그린빌),35.1905577,128.0683052
6853,둘리라창의어린이집 놀이시설,경남 진주시금산면 장사리 흥한골든빌아파트 내 둘리라창의어린이집,경상남도 진주시 금산면 금산로 123 (금산흥한골든빌),2003-01-10,어린이집,경상남도 진주시 금산면 금산로 123 (금산흥한골든빌),35.2151739,128.1503702
500580,성모유치원 어린이놀이시설,,경상남도 진주시 향교로42번길 5 (옥봉동),2003-01-10,유치원,경상남도 진주시 향교로42번길 5 (옥봉동),35.1986755,128.0872804
500534,주약초등학교 어린이놀이시설,,경상남도 진주시 천수로 64 (주약동),2003-03-01,학교,경상남도 진주시 천수로 64 (주약동),35.1724206,128.0916181
